,Country,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
54,"Iran, Islamic Rep.",55,76.59242048219484,62.68164247260135,75.6367024315702,51.181330720524706,40.106771676406474,54.57601718763031,76.11236880950355,54.995842102559024,36.56240582558313,66.94675977498504,75.3799107546252,69.82150686034245,67.33529848851057,76.33897480942053,72.21378948469128,69.62366110311098,44.528293485497464,62.0907060272447,UMI,south_as
55,Bahrain,56,76.492439423032,63.34686416184766,85.02371117510809,49.38665910266975,44.485761098798605,59.582193395155365,78.06564360203278,57.93199407486476,35.630038292403874,57.59030760961838,65.38735727259238,63.587985445486304,59.97891050568623,62.58738543267169,64.63268918822799,73.36293096636541,39.88111065512724,61.900506259638625,HI,west_as
56,"Egypt, Arab Rep.",57,76.42350860506693,59.14145058706558,68.4324428568254,51.62513999452938,38.35638266241124,61.171136465089205,76.59594235794799,45.61220040969936,33.6536925368482,59.846969135475724,68.82893907416539,72.160131552112,69.73868072752994,61.3158814784865,70.7497592979463,72.81890749264095,41.85687378906401,59.651295236177596,LMI,north_af
57,Mauritius,58,76.32053563056839,53.75842729666766,76.20068968099564,48.59527445066764,48.89598055888479,54.73672644638377,75.78858446114975,53.37556009342679,27.244341550822895,53.776084287150034,85.32085670118438,61.57220624575501,66.62179852643884,57.86489867109836,45.64060152625015,76.6054148752974,42.755748847166046,58.940241577149045,UMI,east_af
59,Turkmenistan,60,76.27039849765293,57.40848786265995,67.6750649942802,52.40220758823122,49.00080983907569,57.40881835118806,75.81080153594571,55.26998252253633,20.8289999331568,65.71894364425033,73.1138972127159,73.39413564466994,61.85747197972517,49.25878693562434,63.28858695657334,71.23096083478184,41.162787604952804,58.445913617447175,UMI,cent_as
60,Trinidad and Tobago,61,76.24710115818202,49.58660532407451,73.88618560057076,48.44553410605228,53.88460476601107,56.76051790673757,76.654862947073,53.47968268267226,27.814759273318494,54.206707869811815,76.61607296386654,62.6829556379826,53.72256366632389,56.76197368992742,67.19435906691733,67.75032150128229,44.999422673260185,58.35565226444836,HI,lat_cab
61,"Korea, Rep.",62,76.21104812132923,73.3140042533356,89.05735903130979,86.53513179972461,32.91509851567398,81.95129264750778,73.04532269756757,64.55149525157329,59.04307140405429,56.69317942157924,90.15554569333989,67.84198807020651,65.62372775590076,58.81624426240996,66.60145526386114,81.58396299866082,43.43124817488841,71.15606482680728,HI,east_as
63,United Arab Emirates,64,76.13566761903955,65.38655165265132,83.03484503214212,63.7843167014283,54.30586339566782,84.54716592771834,80.98970182438246,60.98869452255518,47.71439529443306,70.52125827932657,67.4561975344747,49.17189442399252,52.23756575366207,65.79642659895185,66.88871361305823,83.92804992278649,59.790120126984526,67.5839960554692,HI,west_as
64,Tunisia,65,76.03014978313682,58.43045052686933,76.2676435555295,47.55101211242783,42.983245376260236,61.422054266091656,77.53880009637658,42.62901207482522,28.78741130608036,60.16427742782954,63.283376557984525,72.03760131296546,68.48259421180309,63.447531355550055,71.64933113710575,74.01233157740106,49.49793331120516,60.384721516085484,LMI,north_af
66,Kazakhstan,67,75.85068522555119,55.99011204228838,74.1360317241313,54.349964668087836,51.78238596070373,58.599569354270464,75.57687643138739,53.072312722167496,30.883542475813023,58.821325234819,76.85308134668469,59.3499816374086,59.40844879145021,52.731543947459734,62.54160882621293,72.18316462638576,39.85850339861444,59.401408334085204,UMI,cent_as
67,Italy,68,75.71942936337777,66.59313297369762,90.15838444860684,67.25960726281151,57.417781481046205,79.56381595190216,78.36425647764672,48.500612428297735,50.56154601637426,75.14931582459123,74.04015222877439,55.09911550054004,71.71065587140576,47.608114704763125,89.0817733714415,80.32930672217093,55.90752916064147,69.49110833354523,HI,sou_eu
68,Argentina,69,75.69179877430206,64.7696789455288,77.99511741161646,49.70861064537663,52.65896679150521,58.8833821209379,77.3368757886666,47.63133770101263,33.0048743356504,53.92086149099677,80.27950945727608,69.48857529669033,67.26665587394052,45.64152052838351,63.737688855221826,69.4371696672133,48.45748692632539,61.01285728373537,UMI,lat_cab
69,Qatar,70,75.69044088247995,59.78244103161288,80.88894002395831,59.735682091490844,48.35462967783744,61.275886534033766,77.85085326782978,57.061993641611416,42.81758402777912,60.4450406623366,58.78350860137308,62.763379461284764,23.090259128890118,67.82603276079527,71.50062240421556,81.78443889233809,47.10066128665502,62.64013342085534,HI,west_as
70,Cambodia,71,75.4383091916057,56.149798602421555,64.52350707467272,48.843528834641575,51.970589133936265,45.218307386370384,42.42198364403044,52.65754409150151,25.95381751174533,75.3416897630309,79.06128528623094,77.33405270796564,70.40287624525324,40.33997173588001,48.710423053286505,61.07175287263684,38.38685041172632,55.11381119946441,LMI,southeast_as
72,Oman,73,75.03733527508274,54.410098085200694,79.66230476775138,49.78463512243006,46.71838720499597,48.84304218937344,75.83579897492783,52.342654688055816,35.114477420377355,58.44491654889365,76.47630978731665,63.41078836287558,59.7124938270446,67.88715836013418,62.01929566346024,77.23745844085872,43.727251968003245,60.53152080364188,HI,west_as
